Running C benchmark /home/jsquyres/svn/ompi-tests/NPB3.3.1/NPB3.3-MPI/bin/cg.D.4, class sm,self, on 1 servers (np=4), sm,self

Servers:
mpi025
mpi025
mpi025
mpi025

mpirun --mca btl sm,self --bind-to core --map-by node -np 4 /home/jsquyres/svn/ompi-tests/NPB3.3.1/NPB3.3-MPI/bin/cg.D.4

Start: Mon Feb 17 08:09:41 PST 2014
===============================================================================


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:    1500000
 Iterations:   100
 Number of active processes:     4
 Number of nonzeroes per row:       21
 Eigenvalue shift: .500E+03

   iteration           ||r||                 zeta
        1       0.13809081711579E-11   499.9996989885352
        2       0.90138111070714E-15    49.1792921222655
        3       0.92983328739793E-15    49.7621417781024
        4       0.96071930853674E-15    50.2476108448528
        5       0.98906004909768E-15    50.6504113318656
        6       0.10138384312264E-14    50.9835679329954
        7       0.10352387305538E-14    51.2584179093586
        8       0.10538456424269E-14    51.4846993919530
        9       0.10708785700439E-14    51.6706894462853
       10       0.10830469209958E-14    51.8233647189939
       11       0.10937806635707E-14    51.9485666805600
       12       0.11029114998192E-14    52.0511603649590
       13       0.11093250831856E-14    52.1351803974302
       14       0.11152554989305E-14    52.2039614064443
       15       0.11193084553612E-14    52.2602520412585
       16       0.11230679822307E-14    52.3063130997597
       17       0.11250733087739E-14    52.3440009815691
       18       0.11289208258124E-14    52.3748380152673
       19       0.11315285254671E-14    52.4000713044044
       20       0.11341557478956E-14    52.4207216938423
       21       0.11331821839807E-14    52.4376243380993
       22       0.11358925381618E-14    52.4514621958400
       23       0.11357368509532E-14    52.4627936097330
       24       0.11371695705860E-14    52.4720749669624
       25       0.11389490414815E-14    52.4796792873470
       26       0.11386628033088E-14    52.4859114504421
       27       0.11386768276472E-14    52.4910206572321
       28       0.11405672666670E-14    52.4952106205697
       29       0.11426776218522E-14    52.4986478935500
       30       0.11407734355896E-14    52.5014686735307
       31       0.11404642454121E-14    52.5037843586987
       32       0.11421902752281E-14    52.5056860859153
       33       0.11420829166932E-14    52.5072484353539
       34       0.11415469621628E-14    52.5085324557555
       35       0.11419241681114E-14    52.5095881341479
       36       0.11427151845930E-14    52.5104564131413
       37       0.11421373155356E-14    52.5111708380624
       38       0.11423407810482E-14    52.5117589027048
       39       0.11430832930695E-14    52.5122431486834
       40       0.11433644399206E-14    52.5126420639661
       41       0.11448407904359E-14    52.5129708170913
       42       0.11414318416390E-14    52.5132418579293
       43       0.11428259201773E-14    52.5134654084301
       44       0.11450678391187E-14    52.5136498646955
       45       0.11437043944157E-14    52.5138021256340
       46       0.11450454969490E-14    52.5139278620820
       47       0.11432564009584E-14    52.5140317371892
       48       0.11442314970081E-14    52.5141175871776
       49       0.11438959822738E-14    52.5141885689067
       50       0.11437331409354E-14    52.5142472814326
       51       0.11444461223369E-14    52.5142958653941
       52       0.11424483360274E-14    52.5143360844801
       53       0.11438676586737E-14    52.5143693924389
       54       0.11426649093243E-14    52.5143969881534
       55       0.11440930437905E-14    52.5144198604577
       56       0.11427863600078E-14    52.5144388254713
       57       0.11432205731667E-14    52.5144545570833
       58       0.11432010648153E-14    52.5144676116805
